,0
0,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/248.jpg
1,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/249.jpg
2,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/250.jpg
3,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/252.jpg
4,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/263.jpg
5,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/266.jpg
6,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/275.jpg
7,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/282.jpg
8,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/284.jpg
9,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/286.jpg
10,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/311.jpg
11,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/317.jpg
12,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/319.jpg
13,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/328.jpg
14,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/336.jpg
15,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/349.jpg
16,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/366.jpg
17,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/369.jpg
18,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/380.jpg
19,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/391.jpg
20,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleA/CV1/train_imgs/394.jpg
