,0
0,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/001.bmp
1,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/014.bmp
2,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/019.bmp
3,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/023.bmp
4,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/028.bmp
5,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/032.bmp
6,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/035.bmp
7,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/041.bmp
8,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/042.bmp
9,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/044.bmp
10,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/047.bmp
11,/media/siddique/464a1d5c-f3c4-46f5-9dbb-bf729e5df6d62/tracking_wo_bnw/data/flower/train_gt_panoptic_sw_16_8/SSL_Data/AppleB/CV1/train_imgs/052.bmp
