,0
0,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/004.bmp
1,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/006.bmp
2,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/008.bmp
3,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/010.bmp
4,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/014.bmp
5,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/018.bmp
6,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/024.bmp
7,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/028.bmp
8,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/030.bmp
9,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/034.bmp
10,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/036.bmp
11,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/041.bmp
12,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/054.bmp
13,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/064.bmp
14,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/066.bmp
15,/media/6TB_local/RAL_code/ssl_flower_semantic/dataset/ssl_data/Peach/CV1/train_imgs/068.bmp
